customer_key,customer_id,first_name,last_name,email,address,address2,district,city,country,postal_code,phone,active,create_date,start_date,end_date
38,38,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,269 Cam Ranh Parkway,"",Chisinau,Chisinau,Moldova,34689,489783829737,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
39,39,Debra,Nelson,debra.nelson@sakilacustomer.org,306 Antofagasta Place,"",Esprito Santo,Vila Velha,Brazil,3989,378318851631,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
40,40,Amanda,Carter,amanda.carter@sakilacustomer.org,671 Graz Street,"",Oriental,Nador,Morocco,94399,680768868518,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
41,41,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,42 Brindisi Place,"",Yerevan,Yerevan,Armenia,16744,42384721397,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
42,42,Carolyn,Perez,carolyn.perez@sakilacustomer.org,1632 Bislig Avenue,"",Nonthaburi,Pak Kret,Thailand,61117,471675840679,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
43,43,Christine,Roberts,christine.roberts@sakilacustomer.org,1447 Imus Way,"",Tahiti,Faaa,French Polynesia,48942,539758313890,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
44,44,Marie,Turner,marie.turner@sakilacustomer.org,1998 Halifax Drive,"",Lipetsk,Lipetsk,Russian Federation,76022,177727722820,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
45,45,Janet,Phillips,janet.phillips@sakilacustomer.org,1718 Valencia Street,"",Antofagasta,Antofagasta,Chile,37359,675292816413,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
46,46,Catherine,Campbell,catherine.campbell@sakilacustomer.org,46 Pjatigorsk Lane,"",Moscow (City),Moscow,Russian Federation,23616,262076994845,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
47,47,Frances,Parker,frances.parker@sakilacustomer.org,686 Garland Manor,"",Cear,Juazeiro do Norte,Brazil,52535,69493378813,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
48,48,Ann,Evans,ann.evans@sakilacustomer.org,909 Garland Manor,"",Tatarstan,Niznekamsk,Russian Federation,69367,705800322606,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
49,49,Joyce,Edwards,joyce.edwards@sakilacustomer.org,725 Isesaki Place,"",Mekka,Jedda,Saudi Arabia,74428,876295323994,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
50,50,Diane,Collins,diane.collins@sakilacustomer.org,115 Hidalgo Parkway,"",Khartum,Omdurman,Sudan,80168,307703950263,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
51,51,Alice,Stewart,alice.stewart@sakilacustomer.org,1135 Izumisano Parkway,"",California,Fontana,United States,48150,171822533480,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
52,52,Julie,Sanchez,julie.sanchez@sakilacustomer.org,939 Probolinggo Loop,"",Galicia,A Corua (La Corua),Spain,4166,680428310138,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
53,53,Heather,Morris,heather.morris@sakilacustomer.org,17 Kabul Boulevard,"",Chiba,Nagareyama,Japan,38594,697760867968,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
54,54,Teresa,Rogers,teresa.rogers@sakilacustomer.org,1964 Allappuzha (Alleppey) Street,"",Yamaguchi,Iwakuni,Japan,48980,920811325222,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
55,55,Doris,Reed,doris.reed@sakilacustomer.org,1697 Kowloon and New Kowloon Loop,"",Moskova,Balaiha,Russian Federation,57807,499352017190,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
56,56,Gloria,Cook,gloria.cook@sakilacustomer.org,1668 Saint Louis Place,"",Tahiti,Papeete,French Polynesia,39072,347487831378,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
57,57,Evelyn,Morgan,evelyn.morgan@sakilacustomer.org,943 Tokat Street,"",Vaduz,Vaduz,Liechtenstein,45428,889318963672,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
58,58,Jean,Bell,jean.bell@sakilacustomer.org,1114 Liepaja Street,"",Sarawak,Kuching,Malaysia,69226,212869228936,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
59,59,Cheryl,Murphy,cheryl.murphy@sakilacustomer.org,1213 Ranchi Parkway,"",Karnataka,Mysore,India,94352,800024380485,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
60,60,Mildred,Bailey,mildred.bailey@sakilacustomer.org,81 Hodeida Way,"",Rajasthan,Jaipur,India,55561,250767749542,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
61,61,Katherine,Rivera,katherine.rivera@sakilacustomer.org,915 Ponce Place,"",Basel-Stadt,Basel,Switzerland,83980,1395251317,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
62,62,Joan,Cooper,joan.cooper@sakilacustomer.org,1717 Guadalajara Lane,"",Missouri,Saint Louis,United States,85505,914090181665,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
63,63,Ashley,Richardson,ashley.richardson@sakilacustomer.org,1214 Hanoi Way,"",Nebraska,Lincoln,United States,67055,491001136577,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
64,64,Judith,Cox,judith.cox@sakilacustomer.org,1966 Amroha Avenue,"",Sichuan,Daxian,China,70385,333489324603,0,2006-02-14 00:00:00,2023-08-16,2023-08-16
65,65,Rose,Howard,rose.howard@sakilacustomer.org,698 Otsu Street,"",Cayenne,Cayenne,French Guiana,71110,409983924481,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
66,66,Janice,Ward,janice.ward@sakilacustomer.org,1150 Kimchon Manor,"",Skne ln,Malm,Sweden,96109,663449333709,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
67,67,Kelly,Torres,kelly.torres@sakilacustomer.org,1586 Guaruj Place,"",Hunan,Xiangtan,China,5135,947233365992,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
68,68,Nicole,Peterson,nicole.peterson@sakilacustomer.org,57 Arlington Manor,"",Madhya Pradesh,Shivapuri,India,48960,990214419142,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
69,69,Judy,Gray,judy.gray@sakilacustomer.org,1031 Daugavpils Parkway,"",Bchar,Bchar,Algeria,59025,107137400143,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
70,70,Christina,Ramirez,christina.ramirez@sakilacustomer.org,1124 Buenaventura Drive,"",Mekka,al-Hawiya,Saudi Arabia,6856,407733804223,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
71,71,Kathy,James,kathy.james@sakilacustomer.org,492 Cam Ranh Street,"",Eastern Visayas,Baybay,Philippines,50805,565018274456,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
72,72,Theresa,Watson,theresa.watson@sakilacustomer.org,89 Allappuzha (Alleppey) Manor,"",National Capital Reg,Taguig,Philippines,75444,255800440636,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
73,73,Beverly,Brooks,beverly.brooks@sakilacustomer.org,1947 Poos de Caldas Boulevard,"",Chiayi,Chiayi,Taiwan,60951,427454485876,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
74,74,Denise,Kelly,denise.kelly@sakilacustomer.org,1206 Dos Quebradas Place,"",So Paulo,Rio Claro,Brazil,20207,241832790687,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
75,75,Tammy,Sanders,tammy.sanders@sakilacustomer.org,1551 Rampur Lane,"",Changhwa,Changhwa,Taiwan,72394,251164340471,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
76,76,Irene,Price,irene.price@sakilacustomer.org,602 Paarl Street,"",Pavlodar,Pavlodar,Kazakstan,98889,896314772871,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
77,77,Jane,Bennett,jane.bennett@sakilacustomer.org,1692 Ede Loop,"",So Paulo,Araatuba,Brazil,9223,918711376618,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
78,78,Lori,Wood,lori.wood@sakilacustomer.org,936 Salzburg Lane,"",Uttar Pradesh,Rae Bareli,India,96709,875756771675,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
79,79,Rachel,Barnes,rachel.barnes@sakilacustomer.org,586 Tete Way,"",Kanagawa,Kamakura,Japan,1079,18581624103,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
80,80,Marilyn,Ross,marilyn.ross@sakilacustomer.org,1888 Kabul Drive,"",Oyo & Osun,Ife,Nigeria,20936,701457319790,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
81,81,Andrea,Henderson,andrea.henderson@sakilacustomer.org,320 Baiyin Parkway,"",Mahajanga,Mahajanga,Madagascar,37307,223664661973,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
82,82,Kathryn,Coleman,kathryn.coleman@sakilacustomer.org,927 Baha Blanca Parkway,"",Krim,Simferopol,Ukraine,9495,821972242086,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
83,83,Louise,Jenkins,louise.jenkins@sakilacustomer.org,929 Tallahassee Loop,"",Gauteng,Springs,South Africa,74671,800716535041,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
84,84,Sara,Perry,sara.perry@sakilacustomer.org,125 Citt del Vaticano Boulevard,"",Puebla,Atlixco,Mexico,67912,48417642933,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
85,85,Anne,Powell,anne.powell@sakilacustomer.org,1557 Ktahya Boulevard,"",England,Bradford,United Kingdom,88002,720998247660,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
86,86,Jacqueline,Long,jacqueline.long@sakilacustomer.org,870 Ashqelon Loop,"",Songkhla,Songkhla,Thailand,84931,135117278909,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
87,87,Wanda,Patterson,wanda.patterson@sakilacustomer.org,1740 Portoviejo Avenue,"",Sucre,Sincelejo,Colombia,29932,198123170793,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
88,88,Bonnie,Hughes,bonnie.hughes@sakilacustomer.org,1942 Ciparay Parkway,"",Cheju,Cheju,South Korea,82624,978987363654,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
89,89,Julia,Flores,julia.flores@sakilacustomer.org,1926 El Alto Avenue,"",Buenos Aires,La Plata,Argentina,75543,846225459260,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
90,90,Ruby,Washington,ruby.washington@sakilacustomer.org,1952 Chatsworth Drive,"",Guangdong,Meixian,China,25958,991562402283,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
91,91,Lois,Butler,lois.butler@sakilacustomer.org,1370 Le Mans Avenue,"",Brunei and Muara,Bandar Seri Begawan,Brunei,52163,345679835036,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
92,92,Tina,Simmons,tina.simmons@sakilacustomer.org,984 Effon-Alaiye Avenue,"",Gois,Goinia,Brazil,17119,132986892228,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
93,93,Phyllis,Foster,phyllis.foster@sakilacustomer.org,832 Nakhon Sawan Manor,"",Inner Mongolia,Zalantun,China,49021,275595571388,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
94,94,Norma,Gonzales,norma.gonzales@sakilacustomer.org,152 Kitwe Parkway,"",Caraga,Bislig,Philippines,53182,835433605312,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
95,95,Paula,Bryant,paula.bryant@sakilacustomer.org,1697 Tanauan Lane,"",Punjab,Pathankot,India,22870,4764773857,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
96,96,Diana,Alexander,diana.alexander@sakilacustomer.org,1308 Arecibo Way,"",Georgia,Augusta-Richmond County,United States,30695,6171054059,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
97,97,Annie,Russell,annie.russell@sakilacustomer.org,1599 Plock Drive,"",Tete,Tete,Mozambique,71986,817248913162,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
98,98,Lillian,Griffin,lillian.griffin@sakilacustomer.org,669 Firozabad Loop,"",Abu Dhabi,al-Ayn,United Arab Emirates,92265,412903167998,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
99,99,Emily,Diaz,emily.diaz@sakilacustomer.org,588 Vila Velha Manor,"",Kyongsangbuk,Kimchon,South Korea,51540,333339908719,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
100,100,Robin,Hayes,robin.hayes@sakilacustomer.org,1913 Kamakura Place,"",Lipetsk,Jelets,Russian Federation,97287,942570536750,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
101,101,Peggy,Myers,peggy.myers@sakilacustomer.org,733 Mandaluyong Place,"",Asir,Abha,Saudi Arabia,77459,196568435814,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
102,102,Crystal,Ford,crystal.ford@sakilacustomer.org,659 Vaduz Drive,"",Ha Darom,Ashdod,Israel,49708,709935135487,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
103,103,Gladys,Hamilton,gladys.hamilton@sakilacustomer.org,1177 Jelets Way,"",Kwara & Kogi,Ilorin,Nigeria,3305,484292626944,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
104,104,Rita,Graham,rita.graham@sakilacustomer.org,1386 Yangor Avenue,"",Provence-Alpes-Cte,Toulon,France,80720,449216226468,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
105,105,Dawn,Sullivan,dawn.sullivan@sakilacustomer.org,454 Nakhon Sawan Boulevard,"",Funafuti,Funafuti,Tuvalu,76383,963887147572,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
106,106,Connie,Wallace,connie.wallace@sakilacustomer.org,1867 San Juan Bautista Tuxtepec Avenue,"",Ivanovo,Ivanovo,Russian Federation,78311,547003310357,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
107,107,Florence,Woods,florence.woods@sakilacustomer.org,1532 Dzerzinsk Way,"",Buenos Aires,Merlo,Argentina,9599,330838016880,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
108,108,Tracy,Cole,tracy.cole@sakilacustomer.org,1002 Ahmadnagar Manor,"",Mxico,Huixquilucan,Mexico,93026,371490777743,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
109,109,Edna,West,edna.west@sakilacustomer.org,682 Junan Way,"",North West,Klerksdorp,South Africa,30418,622255216127,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
110,110,Tiffany,Jordan,tiffany.jordan@sakilacustomer.org,804 Elista Drive,"",Hubei,Enshi,China,61069,379804592943,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
111,111,Carmen,Owens,carmen.owens@sakilacustomer.org,1378 Alvorada Avenue,"",Distrito Federal,Caracas,Venezuela,75834,272234298332,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
112,112,Rosa,Reynolds,rosa.reynolds@sakilacustomer.org,793 Cam Ranh Avenue,"",California,Lancaster,United States,87057,824370924746,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
113,113,Cindy,Fisher,cindy.fisher@sakilacustomer.org,1079 Tel Aviv-Jaffa Boulevard,"",Sucre,Cuman,Venezuela,10885,358178933857,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
114,114,Grace,Ellis,grace.ellis@sakilacustomer.org,442 Rae Bareli Place,"",Nordrhein-Westfalen,Duisburg,Germany,24321,886636413768,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
115,115,Wendy,Harrison,wendy.harrison@sakilacustomer.org,1107 Nakhon Sawan Avenue,"",Mxico,Nezahualcyotl,Mexico,75149,867546627903,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
116,116,Victoria,Gibson,victoria.gibson@sakilacustomer.org,544 Malm Parkway,"",Central Java,Pemalang,Indonesia,63502,386759646229,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
117,117,Edith,Mcdonald,edith.mcdonald@sakilacustomer.org,1967 Sincelejo Place,"",Gujarat,Gandhinagar,India,73644,577812616052,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
118,118,Kim,Cruz,kim.cruz@sakilacustomer.org,333 Goinia Way,"",Texas,Grand Prairie,United States,78625,909029256431,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
119,119,Sherry,Marshall,sherry.marshall@sakilacustomer.org,1987 Coacalco de Berriozbal Loop,"",al-Qalyubiya,Shubra al-Khayma,Egypt,96065,787654415858,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
120,120,Sylvia,Ortiz,sylvia.ortiz@sakilacustomer.org,241 Mosul Lane,"",Risaralda,Dos Quebradas,Colombia,76157,765345144779,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
121,121,Josephine,Gomez,josephine.gomez@sakilacustomer.org,211 Chiayi Drive,"",Uttar Pradesh,Etawah,India,58186,665993880048,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
122,122,Thelma,Murray,thelma.murray@sakilacustomer.org,1175 Tanauan Way,"",Lima,Lima,Peru,64615,937222955822,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
123,123,Shannon,Freeman,shannon.freeman@sakilacustomer.org,117 Boa Vista Way,"",Uttar Pradesh,Varanasi (Benares),India,6804,677976133614,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
124,124,Sheila,Wells,sheila.wells@sakilacustomer.org,848 Tafuna Manor,"",Ktahya,Ktahya,Turkey,45142,614935229095,0,2006-02-14 00:00:00,2023-08-16,2023-08-16
125,125,Ethel,Webb,ethel.webb@sakilacustomer.org,569 Baicheng Lane,"",Gauteng,Boksburg,South Africa,60304,490211944645,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
126,126,Ellen,Simpson,ellen.simpson@sakilacustomer.org,1666 Qomsheh Drive,"",So Paulo,Po,Brazil,66255,582835362905,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
127,127,Elaine,Stevens,elaine.stevens@sakilacustomer.org,801 Hagonoy Drive,"",Smolensk,Smolensk,Russian Federation,8439,237426099212,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
128,128,Marjorie,Tucker,marjorie.tucker@sakilacustomer.org,1050 Garden Grove Avenue,"",Slaskie,Jastrzebie-Zdrj,Poland,4999,973047364353,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
129,129,Carrie,Porter,carrie.porter@sakilacustomer.org,1854 Tieli Street,"",Shandong,Liaocheng,China,15819,509492324775,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
130,130,Charlotte,Hunter,charlotte.hunter@sakilacustomer.org,758 Junan Lane,"",Gois,guas Lindas de Gois,Brazil,82639,935448624185,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
131,131,Monica,Hicks,monica.hicks@sakilacustomer.org,1752 So Leopoldo Parkway,"",Taka-Karpatia,Mukateve,Ukraine,14014,252265130067,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
132,132,Esther,Crawford,esther.crawford@sakilacustomer.org,898 Belm Manor,"",Free State,Botshabelo,South Africa,49757,707169393853,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
133,133,Pauline,Henry,pauline.henry@sakilacustomer.org,261 Saint Louis Way,"",Coahuila de Zaragoza,Torren,Mexico,83401,321944036800,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
134,134,Emma,Boyd,emma.boyd@sakilacustomer.org,765 Southampton Drive,"",al-Qalyubiya,Qalyub,Egypt,4285,23712411567,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
135,135,Juanita,Mason,juanita.mason@sakilacustomer.org,943 Johannesburg Avenue,"",Maharashtra,Pune,India,5892,90921003005,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
136,136,Anita,Morales,anita.morales@sakilacustomer.org,788 Atinsk Street,"",Karnataka,Hubli-Dharwad,India,81691,146497509724,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
137,137,Rhonda,Kennedy,rhonda.kennedy@sakilacustomer.org,1749 Daxian Place,"",Gelderland,Apeldoorn,Netherlands,11044,963369996279,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
138,138,Hazel,Warren,hazel.warren@sakilacustomer.org,1587 Sullana Lane,"",Inner Mongolia,Hohhot,China,85769,468060467018,1,2006-02-14 00:00:00,2023-08-16,2023-08-16
